comments,sentiment
Today's Top 5 Technical Gainers among Large Caps: $JNJ $SCHW $PRGO $PPG $PHM https://t.co/Cv7zqr482z #sccrankings #stockcharts,Positive
"-2.16 % to Target Morgan Stanley Reconfirms ‘""Equal-Weight""’ Rating on JB Hunt Transport $JBHT Shares Today https://t.co/IYO0AcwMut",Positive
RT @Prof_Dollar: @srqstockpicker @princetongb @princetongb $BMY actually own less than 7% of $QURE (you forgot interim dilutions). Also r…,Negative
Hershey $HSY Lowered to “Equal Weight” at Consumer Edge https://t.co/hxZTvm7Sya,Positive
FY2018 EPS Estimates for American Tower Corp $AMT Cut by KeyCorp  https://t.co/AxvfhLGhrZ,Negative
TREND REVERSAL DOWN ALERT: $ENDP ENDO INTL PLC ORDINAR 📉 TradeIdeas via https://t.co/VS8RO1bzXJ to Free Trading Room,Positive
Varian Medical Systems Inc $VAR Has Decline in Shorts - https://t.co/AQKLIuNzBt,Positive
#RealEstate #2018shift #FED $HCP $OHI $VTR $WPC #REIT $REIT $DJR $SPX $RUT $GLD $SLV $VIX $SPY $OIL $USDX $DXY… https://t.co/wj5GYbvZdD,Positive
RT @WarrenBuffetHQ: Adversity is often a stimulant to our spiritual growth https://t.co/wrEQyGbvPy  The Best Stock Investment For 2018 http…,Positive
Traders Are Bullish Ross Stores Inc. $ROST After The Stock Formed Bullish Double Top https://t.co/Q1CymSYZ4n,Positive
$ATVI $GLUU $NTES $TSG $ZNGA https://t.co/ftaJoa2ckz,Negative
$5.41 Billion in Sales Expected for AutoNation Inc. $AN This Quarter https://t.co/qz2EOpgTaQ,Positive
RT @dfstoken: WANT to TRADE $DFS? Find us at the following EXCHANGES:  1. https://t.co/FvRAlQFNai 2. https://t.co/Lma6PCPn81 3. https://t.c…,Negative
DXC Technology $DXC Upgraded at ValuEngine  https://t.co/oqZ8i6am4O,Negative
@emilio_gold possible teaser/tester to an M&amp;A ? I spoke with you about this about a month ago. $NFLX $SIRI https://t.co/L04fRMyucx,Positive
$aker surging after hours as company finds no accounting errors in previous financials! Paving way for buyout by… https://t.co/osHTxyfaf5,Positive
July 16th - #PlaybyPlay – France Wins #WorldCup Kerber &amp; Djokovic Victorious at #Wimbledon Groenewegen &amp; Degenkol… https://t.co/NrtjzrIGLK,Negative
Fluor Corp $FLR Sentiment Change Report - https://t.co/e5HzLiOte5,Positive
RT @BitScreener: New Coins added to https://t.co/KozqoWvPD9 $KBC $FTI $PCH $QURO $SEER $CONI $ESS $ONL $OTB $PAI $GOT $THRT #bitscreener h…,Negative
As Incyte Corporation $INCY Valuation Declined Shareholder Tekla Capital Management LLC Lowered Its Holding by $3.… https://t.co/B56e92JBxi,Positive
